indice_tiempo,coeficiente_gini_iop,coeficiente_gini_ipcf,brecha_ingresos_iop,brecha_ingresos_ipcf
2003-07-01,0.475,0.534,10.0,15.7
2003-10-01,0.471,0.525,10.0,13.0
2004-01-01,0.473,0.512,8.7,12.4
2004-04-01,0.457,0.513,8.4,15.1
2004-07-01,0.458,0.502,8.7,12.9
2004-10-01,0.456,0.494,9.3,12.0
2005-01-01,0.445,0.496,10.0,11.7
2005-04-01,0.449,0.487,10.0,11.4
2005-07-01,0.461,0.5,10.0,12.7
2005-10-01,0.442,0.475,11.0,10.7
2006-01-01,0.445,0.489,12.0,12.0
2006-04-01,0.438,0.473,11.9,10.5
2006-07-01,0.43,0.476,11.1,12.0
2006-10-01,0.442,0.485,10.0,10.1
2007-01-01,0.432,0.476,11.0,10.6
2007-04-01,0.42,0.46,10.2,10.1
2007-07-01,,,,
2007-10-01,0.424,0.472,8.3,9.7
2008-01-01,0.41,0.463,9.3,10.2
2008-04-01,0.402,0.45,8.6,9.3
2008-07-01,0.412,0.469,8.9,10.4
2008-10-01,0.4,0.45,7.5,9.0
2009-01-01,0.405,0.454,8.3,10.2
2009-04-01,0.403,0.46,8.4,10.0
2009-07-01,0.404,0.457,9.0,10.8
2009-10-01,0.399,0.446,9.5,9.2
2010-01-01,0.393,0.447,8.0,8.8
2010-04-01,0.406,0.442,8.0,8.7
2010-07-01,0.4,0.448,9.0,9.3
2010-10-01,0.39,0.439,8.3,8.5
2011-01-01,0.379,0.434,7.4,8.3
2011-04-01,0.391,0.432,8.3,8.2
2011-07-01,0.394,0.437,8.6,8.6
2011-10-01,0.391,0.429,7.5,8.0
2012-01-01,0.375,0.433,7.5,8.5
2012-04-01,0.381,0.418,8.0,7.5
2012-07-01,0.39,0.434,8.8,8.4
2012-10-01,0.364,0.411,7.0,7.2
2013-01-01,0.372,0.427,8.0,8.0
2013-04-01,0.377,0.414,8.0,7.3
2013-07-01,0.381,0.429,7.5,8.0
2013-10-01,0.372,0.413,7.5,7.3
2014-01-01,0.367,0.422,6.7,7.7
2014-04-01,0.377,0.418,6.7,7.5
2014-07-01,0.38,0.434,8.0,8.0
2014-10-01,0.381,0.419,7.5,7.6
2015-01-01,0.364,0.42,6.5,7.8
2015-04-01,0.37,0.41,7.0,7.1
2015-07-01,,,,
2015-10-01,,,,
2016-01-01,,,,
2016-04-01,,0.427,,
2016-07-01,,0.451,,
2016-10-01,,0.428,,
2017-01-01,,0.437,,
2017-04-01,,0.428,,
2017-07-01,,0.427,,
2017-10-01,,0.417,,
2018-01-01,,0.44,,
2018-04-01,,0.422,,
2018-07-01,,0.424,,
2018-10-01,,0.434,,
2019-01-01,,0.447,,
2019-04-01,,0.434,,
2019-07-01,,0.449,,
2019-10-01,,0.439,,
2020-01-01,,0.444,,
2020-04-01,,0.451,,
2020-07-01,,0.443,,
2020-10-01,,0.435,,
2021-01-01,,0.445,,
2021-04-01,,0.434,,
2021-07-01,,0.441,,
2021-10-01,,0.413,,
2022-01-01,,0.43,,
2022-04-01,,0.414,,
2022-07-01,,0.424,,
2022-10-01,,0.413,,
2023-01-01,,0.446,,
